,代碼,10日均量,60日高點,月營收YoY,投信連買天數
0,9945,7300,37.15,32.95,1
1,9946,1800,31.0,275.36,0
2,9949,223,24.15,-0.53,0
3,9950,327,21.55,-5.44,0
4,9951,129,73.5,-11.24,0
5,9955,9031,38.6,-24.63,0
6,9958,7459,260.0,-12.69,0
7,9960,29,27.2,-17.93,0
8,9962,746,18.9,-32.9,0
9,6661,10,25.3,8.2,0
10,6662,13,39.5,-18.86,0
11,6664,982,185.0,-2.02,2
12,6666,57,72.3,10.84,0
13,6667,2997,193.0,18.77,0
14,6668,6359,77.3,12.13,0
15,6669,2152,2560.0,-23.84,1
16,6670,476,251.5,-3.31,2
17,6671,28,43.8,-9.77,0
18,6672,281,97.5,-15.13,0
19,6674,7,27.5,-11.53,0
20,6679,507,499.0,32.38,0
21,6680,12,86.8,-43.01,0
22,6683,693,319.5,0.34,0
23,6684,3027,124.0,112.4,0
24,6689,272,130.0,22.66,0
25,6690,48,192.5,16.76,0
26,6691,510,409.5,-36.31,0
27,6693,66,82.1,6.66,0
28,6695,2904,95.0,-28.57,0
29,6697,51,60.9,9.21,0
30,6698,314,39.95,-35.43,0
31,6703,233,327.0,36.13,0
32,6706,240,68.3,-49.21,0
33,6708,22,50.8,-0.34,0
34,6712,478,225.0,23.35,0
35,6715,659,214.0,-31.6,0
36,6716,241,138.5,40.95,0
37,6719,1733,315.0,29.35,0
38,6721,14,52.0,11.77,0
39,6727,408,63.9,21.84,0
40,6728,22,142.5,5.67,0
41,6732,604,473.0,-9.59,0
42,6733,210,41.25,262.25,0
43,6735,530,116.5,406.6,0
44,6741,619,101.5,13.19,0
45,6742,997,91.7,7.13,0
46,6743,808,59.6,84.24,0
47,6747,32,191.0,-8.44,0
48,6751,16,82.7,-20.41,0
49,6752,57,142.0,13.51,0
50,6753,4263,138.0,-35.47,1
51,6754,145,63.9,39.61,0
52,6756,273,273.0,-7.8,0
53,6761,527,96.7,15.16,0
54,6762,4,260.5,-40.02,0
55,6763,26,488.0,-12.67,0
56,6767,34,40.5,14.37,0
57,6768,397,79.9,24.62,0
58,6770,19829,28.95,-3.88,0
59,6776,162,68.6,-1.48,0
60,6781,302,746.0,-24.41,0
61,6782,1170,269.5,32.19,8
62,6788,449,146.0,15.3,0
63,6789,2665,327.5,21.02,0
64,6790,549,51.6,-0.48,1
65,6791,14,89.8,16.58,0
66,6792,110,89.7,-14.66,0
67,6796,96,105.5,-14.8,0
68,6799,534,213.5,0.86,0
69,6803,30,311.5,4.82,0
70,6804,59,55.4,-51.46,0
71,6805,1795,896.0,37.18,2
72,6806,8823,158.5,102.06,2
73,6807,294,47.5,9.12,0
74,6811,266,346.0,7.27,0
75,6821,34,47.95,-21.72,0
76,6823,43,83.4,-18.19,0
77,6829,769,137.0,-31.55,0
78,6830,515,158.0,-4.71,0
79,6834,27,26.35,13.71,0
80,6835,812,56.7,19.19,0
81,6840,23,78.8,11.22,0
82,6841,786,95.3,406.59,0
83,6843,17,64.3,-40.13,0
84,6846,17,82.7,1.06,0
85,6855,30,137.5,17.18,0
86,6856,18,69.0,-15.91,0
87,6859,51,142.5,-36.8,0
88,6861,92,86.2,-8.01,0
89,6863,303,174.0,57.97,0
90,6865,10,72.3,1.7,0
91,6870,51,153.0,39.99,0
92,6874,87,131.0,-8.48,0
93,6877,41,35.75,3.58,0
94,6894,308,253.0,91.22,0
95,6895,145,113.0,-34.02,0
96,6901,1197,45.95,27.73,0
97,6904,21,240.0,-4.85,0
98,6916,75,29.5,-33.32,0
99,6922,47,127.0,15.07,0
100,6933,1261,385.0,39.3,0
101,6937,1540,238.5,216.4,0
102,4721,223,84.4,-10.16,0
103,4722,193,40.5,0.97,0
104,4726,1758,44.9,-5.13,0
105,4728,100,241.0,-2.0,0
106,4729,213,22.85,-34.6,0
107,4735,27,41.7,-7.76,0
108,4736,148,165.5,-9.71,0
109,4737,35,73.6,25.07,0
110,4739,293,74.2,-23.5,0
111,4741,99,41.35,3.89,0
