,代碼,10日均量,60日高點,月營收YoY,投信連買天數
0,9945,5655,37.15,32.95,0
1,9946,1696,30.9,275.36,0
2,9949,219,24.15,-0.53,0
3,9950,328,21.55,-5.44,0
4,9951,135,73.5,-11.24,0
5,9955,7536,38.6,-24.63,0
6,9958,7239,260.0,-12.69,0
7,9960,32,27.2,-17.93,0
8,9962,695,18.9,-32.9,0
9,6661,6,25.3,8.2,0
10,6662,13,39.5,-18.86,0
11,6664,911,184.0,-2.02,1
12,6666,66,72.3,10.84,0
13,6667,3931,193.0,18.77,0
14,6668,7320,77.3,12.13,0
15,6669,2155,2560.0,-23.84,0
16,6670,470,251.5,-3.31,1
17,6671,29,43.8,-9.77,0
18,6672,306,97.5,-15.13,0
19,6674,15,27.5,-11.53,0
20,6679,488,499.0,32.38,0
21,6680,11,85.3,-43.01,0
22,6683,661,319.5,0.34,0
23,6684,3137,124.0,112.4,0
24,6689,289,130.0,22.66,0
25,6690,50,192.5,16.76,0
26,6691,461,409.5,-36.31,0
27,6693,67,82.1,6.66,0
28,6695,3411,95.0,-28.57,0
29,6697,52,60.9,9.21,0
30,6698,329,39.95,-35.43,0
31,6703,233,327.0,36.13,0
32,6706,246,68.3,-49.21,0
33,6708,22,50.8,-0.34,0
34,6712,545,225.0,23.35,0
35,6715,648,214.0,-31.6,0
36,6716,243,138.5,40.95,0
37,6719,1646,315.0,29.35,0
38,6721,15,52.0,11.77,0
39,6727,390,63.9,21.84,0
40,6728,20,143.0,5.67,0
41,6732,594,473.0,-9.59,0
42,6733,209,41.25,262.25,0
43,6735,580,116.5,406.6,0
44,6741,642,101.5,13.19,0
45,6742,1214,91.7,7.13,0
46,6743,873,59.5,84.24,0
47,6747,31,191.0,-8.44,0
48,6751,16,82.7,-20.41,0
49,6752,64,142.0,13.51,0
50,6753,3875,138.0,-35.47,0
51,6754,146,63.9,39.61,0
52,6756,274,273.0,-7.8,0
53,6761,549,96.7,15.16,0
54,6762,5,260.5,-40.02,0
55,6763,26,488.0,-12.67,0
56,6767,31,40.5,14.37,0
57,6768,358,78.5,24.62,0
58,6770,17080,28.95,-3.88,0
59,6776,167,68.6,-1.48,0
60,6781,285,746.0,-24.41,0
61,6782,1076,269.5,32.19,7
62,6788,453,146.0,15.3,0
63,6789,2805,327.5,21.02,0
64,6790,506,51.3,-0.48,0
65,6791,14,89.8,16.58,0
66,6792,116,89.7,-14.66,0
67,6796,88,105.5,-14.8,0
68,6799,546,213.5,0.86,0
69,6803,30,311.5,4.82,0
70,6804,59,55.4,-51.46,0
71,6805,1846,896.0,37.18,1
72,6806,8117,158.5,102.06,1
73,6807,303,47.5,9.12,0
74,6811,275,346.0,7.27,0
75,6821,36,47.95,-21.72,0
76,6823,38,83.4,-18.19,0
77,6829,767,137.0,-31.55,0
78,6830,543,158.0,-4.71,0
79,6834,32,26.35,13.71,0
80,6835,1024,56.7,19.19,0
81,6840,26,78.8,11.22,0
82,6841,800,95.3,406.59,0
83,6843,16,65.4,-40.13,0
84,6846,18,82.7,1.06,0
85,6855,32,137.5,17.18,0
86,6856,18,69.0,-15.91,0
87,6859,59,142.5,-36.8,0
88,6861,91,86.2,-8.01,0
89,6863,298,174.0,57.97,0
90,6865,9,72.3,1.7,0
91,6870,55,153.0,39.99,0
92,6874,85,131.0,-8.48,0
93,6877,44,35.85,3.58,0
94,6894,275,253.0,91.22,0
95,6895,134,114.5,-34.02,0
96,6901,1160,45.95,27.73,0
97,6904,24,240.0,-4.85,0
98,6916,74,29.5,-33.32,0
99,6922,46,127.0,15.07,0
100,6933,1245,385.0,39.3,0
101,6937,1480,238.5,216.4,0
102,6438,5223,136.5,-7.52,0
103,6441,163,49.5,-60.48,0
104,6442,3692,155.0,39.16,0
105,6443,8700,29.75,-58.97,0
106,6446,1603,338.0,60.51,0
