,代碼,10日均量,60日高點,月營收YoY,投信連買天數
0,9945,8287,37.15,32.95,0
1,9946,1951,31.0,275.36,0
2,9949,225,24.15,-0.53,0
3,9950,330,21.55,-5.44,0
4,9951,156,73.5,-11.24,0
5,9955,11557,38.6,-24.63,0
6,9958,7682,260.0,-12.69,0
7,9960,29,27.2,-17.93,0
8,9962,713,18.9,-32.9,0
9,6661,10,25.3,8.2,0
10,6662,15,39.5,-18.86,0
11,6664,1067,185.0,-2.02,0
12,6666,54,72.3,10.84,0
13,6667,2938,193.0,18.77,0
14,6668,5239,77.3,12.13,0
15,6669,2028,2560.0,-23.84,2
16,6670,487,251.5,-3.31,3
17,6671,30,43.8,-9.77,0
18,6672,321,97.5,-15.13,0
19,6674,8,27.5,-11.53,0
20,6679,532,499.0,32.38,0
21,6680,14,86.8,-43.01,0
22,6683,738,319.5,0.34,0
23,6684,2743,124.0,112.4,0
24,6689,298,130.0,22.66,0
25,6690,52,192.5,16.76,0
26,6691,625,409.5,-36.31,0
27,6693,62,82.1,6.66,0
28,6695,2328,95.0,-28.57,0
29,6697,52,60.9,9.21,0
30,6698,319,39.95,-35.43,0
31,6703,236,327.0,36.13,0
32,6706,275,68.3,-49.21,0
33,6708,24,50.8,-0.34,0
34,6712,528,225.0,23.35,0
35,6715,679,214.0,-31.6,0
36,6716,248,138.5,40.95,0
37,6719,1861,315.0,29.35,0
38,6721,13,52.0,11.77,0
39,6727,438,63.9,21.84,0
40,6728,23,142.0,5.67,0
41,6732,621,473.0,-9.59,0
42,6733,231,41.25,262.25,0
43,6735,510,116.5,406.6,0
44,6741,668,101.5,13.19,0
45,6742,973,91.7,7.13,0
46,6743,823,59.6,84.24,0
47,6747,34,191.0,-8.44,0
48,6751,18,82.7,-20.41,0
49,6752,62,142.0,13.51,0
50,6753,4321,138.0,-35.47,2
51,6754,144,63.9,39.61,0
52,6756,295,273.0,-7.8,0
53,6761,477,96.7,15.16,0
54,6762,5,259.0,-40.02,0
55,6763,25,488.0,-12.67,0
56,6767,48,40.5,14.37,0
57,6768,420,79.9,24.62,0
58,6770,22967,28.9,-3.88,1
59,6776,179,68.6,-1.48,0
60,6781,385,746.0,-24.41,0
61,6782,1333,269.5,32.19,9
62,6788,474,146.0,15.3,0
63,6789,2816,327.5,21.02,0
64,6790,690,52.0,-0.48,0
65,6791,17,89.8,16.58,0
66,6792,125,89.7,-14.66,0
67,6796,115,105.5,-14.8,0
68,6799,582,213.5,0.86,0
69,6803,36,311.5,4.82,0
70,6804,66,55.4,-51.46,0
71,6805,1752,896.0,37.18,3
72,6806,9195,158.5,102.06,3
73,6807,302,47.5,9.12,0
74,6811,269,346.0,7.27,0
75,6821,35,47.95,-21.72,0
76,6823,47,83.4,-18.19,0
77,6829,773,137.0,-31.55,0
78,6830,557,158.0,-4.71,0
79,6834,30,26.35,13.71,0
80,6835,824,56.7,19.19,0
81,6840,25,78.8,11.22,0
82,6841,817,95.3,406.59,0
83,6843,17,64.3,-40.13,0
84,6846,20,82.7,1.06,0
85,6855,29,137.5,17.18,0
86,6856,19,69.0,-15.91,0
87,6859,43,142.5,-36.8,0
88,6861,98,86.2,-8.01,0
89,6863,332,174.0,57.97,0
90,6865,14,70.2,1.7,0
91,6870,50,153.0,39.99,0
92,6874,95,131.0,-8.48,0
93,6877,42,35.75,3.58,0
94,6894,357,253.0,91.22,0
95,6895,144,113.0,-34.02,0
96,6901,1302,45.95,27.73,0
97,6904,21,240.0,-4.85,0
98,6906,158,227.0,6.17,0
99,6916,85,29.5,-33.32,0
100,6922,52,127.0,15.07,0
101,6933,1149,385.0,39.3,0
102,6937,1619,238.5,216.4,0
103,4721,244,84.4,-10.16,0
104,4722,208,40.5,0.97,0
105,4726,1996,44.9,-5.13,0
106,4728,104,241.0,-2.0,0
107,4729,199,22.85,-34.6,0
108,4735,28,41.7,-7.76,0
109,4736,163,165.5,-9.71,0
110,4737,39,73.6,25.07,0
111,4739,336,74.2,-23.5,0
112,4741,97,41.35,3.89,0
113,4743,2800,184.0,-11.69,0
114,4744,340,27.9,205.24,0
